index:   25, size:  82187, qp: 21, enc_time:  4.05, black: 0, mvx:   627, mvy:  -788, intra_mb:  7299, inter_mb:   861, intra_ratio: 89.45, satd:    4243165, sqoe_score: 9.79376, sqoe_fr_score: 9.86781, recommend_rate:  38000,ssim: 0.99368, y_psnr: 48.891, u_psnr: 47.552, v_psnr: 47.581, yuv_psnr: 48.560, vmaf: 0.000, frame_type: 3
index:   26, size:  82825, qp: 21, enc_time:  3.70, black: 0, mvx:   761, mvy:  -583, intra_mb:  7258, inter_mb:   902, intra_ratio: 88.95, satd:    4838288, sqoe_score: 9.52256, sqoe_fr_score: 9.88964, recommend_rate:  38000,ssim: 0.99283, y_psnr: 48.285, u_psnr: 47.959, v_psnr: 48.588, yuv_psnr: 48.282, vmaf: 0.000, frame_type: 3
index:   27, size:  61781, qp: 21, enc_time:  3.63, black: 0, mvx:   442, mvy:  -257, intra_mb:  6268, inter_mb:  1892, intra_ratio: 76.81, satd:    4125664, sqoe_score: 9.70370, sqoe_fr_score: 9.89122, recommend_rate:  18481,ssim: 0.99274, y_psnr: 48.175, u_psnr: 48.597, v_psnr: 49.712, yuv_psnr: 48.420, vmaf: 0.000, frame_type: 3
index:   28, size:  57013, qp: 20, enc_time:  3.50, black: 0, mvx:   359, mvy:  -319, intra_mb:  6077, inter_mb:  2083, intra_ratio: 74.47, satd:    3746190, sqoe_score: 9.70001, sqoe_fr_score: 9.91830, recommend_rate:  16667,ssim: 0.99331, y_psnr: 48.807, u_psnr: 48.809, v_psnr: 50.421, yuv_psnr: 49.009, vmaf: 0.000, frame_type: 3
index:   29, size:  55827, qp: 20, enc_time:  3.61, black: 0, mvx:   381, mvy:  -310, intra_mb:  6236, inter_mb:  1924, intra_ratio: 76.42, satd:    3557076, sqoe_score: 9.68886, sqoe_fr_score: 9.91325, recommend_rate:  16970,ssim: 0.99366, y_psnr: 49.171, u_psnr: 50.257, v_psnr: 51.302, yuv_psnr: 49.573, vmaf: 0.000, frame_type: 3
index:   30, size:  74946, qp: 20, enc_time:  3.73, black: 0, mvx:   988, mvy:  -772, intra_mb:  7772, inter_mb:   388, intra_ratio: 95.25, satd:    4394797, sqoe_score: 9.24862, sqoe_fr_score: 9.88866, recommend_rate:  38000,ssim: 0.99427, y_psnr: 49.451, u_psnr: 51.055, v_psnr: 51.912, yuv_psnr: 49.959, vmaf: 0.000, frame_type: 3
index:   31, size:  74008, qp: 20, enc_time:  3.98, black: 0, mvx:   577, mvy:  -740, intra_mb:  7936, inter_mb:   224, intra_ratio: 97.25, satd:    4519210, sqoe_score: 9.81297, sqoe_fr_score: 9.91747, recommend_rate:  38000,ssim: 0.99479, y_psnr: 49.643, u_psnr: 50.404, v_psnr: 51.499, yuv_psnr: 49.970, vmaf: 0.000, frame_type: 3
index:   32, size:  46362, qp: 19, enc_time:  3.53, black: 0, mvx:   576, mvy:  -479, intra_mb:  8056, inter_mb:   104, intra_ratio: 98.73, satd:    2847643, sqoe_score: 9.47951, sqoe_fr_score: 9.92258, recommend_rate:  38000,ssim: 0.99483, y_psnr: 51.265, u_psnr: 51.781, v_psnr: 52.929, yuv_psnr: 51.538, vmaf: 0.000, frame_type: 3
index:   33, size:  74270, qp: 18, enc_time:  3.90, black: 0, mvx:   780, mvy:  -766, intra_mb:  7611, inter_mb:   549, intra_ratio: 93.27, satd:    3802148, sqoe_score: 9.30708, sqoe_fr_score: 9.94970, recommend_rate:  38000,ssim: 0.99291, y_psnr: 49.990, u_psnr: 51.568, v_psnr: 52.688, yuv_psnr: 50.525, vmaf: 0.000, frame_type: 3
index:   34, size:  92700, qp: 17, enc_time:  3.76, black: 0, mvx:   451, mvy:  -873, intra_mb:  7409, inter_mb:   751, intra_ratio: 90.80, satd:    4304082, sqoe_score: 9.42246, sqoe_fr_score: 9.98709, recommend_rate:  38000,ssim: 0.99384, y_psnr: 50.224, u_psnr: 51.547, v_psnr: 52.475, yuv_psnr: 50.671, vmaf: 0.000, frame_type: 3
index:   35, size: 104454, qp: 18, enc_time:  3.78, black: 0, mvx:   326, mvy:  -838, intra_mb:  7514, inter_mb:   646, intra_ratio: 92.08, satd:    5416001, sqoe_score: 9.60369, sqoe_fr_score: 9.98838, recommend_rate:  38000,ssim: 0.99437, y_psnr: 49.335, u_psnr: 50.333, v_psnr: 51.206, yuv_psnr: 49.694, vmaf: 0.000, frame_type: 3
index:   36, size: 132850, qp: 20, enc_time:  3.87, black: 0, mvx:   667, mvy:  -819, intra_mb:  7531, inter_mb:   629, intra_ratio: 92.29, satd:    7447432, sqoe_score: 9.84760, sqoe_fr_score: 9.95562, recommend_rate:  38000,ssim: 0.99448, y_psnr: 47.705, u_psnr: 48.713, v_psnr: 49.450, yuv_psnr: 48.049, vmaf: 0.000, frame_type: 3
index:   37, size: 125314, qp: 23, enc_time:  4.97, black: 0, mvx:   -83, mvy:  -608, intra_mb:  6718, inter_mb:  1442, intra_ratio: 82.33, satd:    8781977, sqoe_score: 9.81816, sqoe_fr_score: 9.88822, recommend_rate:  38000,ssim: 0.99137, y_psnr: 43.431, u_psnr: 45.937, v_psnr: 46.400, yuv_psnr: 44.115, vmaf: 0.000, frame_type: 3
